sentence_jp,sentence_en,start,end
寸法図に従って段ボールに形状と折れ目の補助線を引く,Draw auxiliary lines of the shape and the fold on cardboard according to dimensional drawings.,4.082501040976844,319.7837930672905
折り目に切り込みを入れる,Cut along the auxiliary lines of the shape,322.00438625002045,386.2657434635966
端は接着のためにライナー残しにする,Leave the ends of the liner for gluing.,390.2786527645017,442.3843164249733
形状の線に沿ってカットする,Make incisions on the auxiliary lines of the fold.,445.11697582605996,506.5613274879381
補助線に従って折り曲げる,Fold along the incisions of the fold.",507.5862785000074,523.9094121599506
ライナー部分で接着する,Adhere the liner with glue.,524.638911899988,607.4338068139137
フタとソコの用紙をテープで段ボールに貼り付けて固定する,Tape a lid paper and a bottom paper to the cardboard to secure them in place.,614.0764624239276,743.2081234864947
折り目に切り込みを入れる,Cut along the auxiliary lines of the shape on the paper.,744.0602731243974,1165.1706722490349
用紙の線に沿ってカットする,Make a cross-shaped incision in the lid.,1175.60479395108,1198.439457601087
フタは十字の切り込みも入れるように注意,Make incisions on the auxiliary lines of the fold on the paper.,1199.2705729099641,1272.7508722020223
折り目を入れる,Fold along the incisions of the fold.",1273.809028138347,1288.7022596758582
フタの切り込み部分に割り箸を通して穴を広げる,Put chopsticks through the cutout in the lid to widen the hole.,1289.4643571819972,1302.8669168375927
フタとソコを本体に被せるように接着する,Adhere the lid and the bottom with glue so that they cover the body.,1305.6334846469754,1500.7232727375813
割り箸を本体に入れる,Put chopsticks in the body.,1501.4529227441294,1504.4345617438946
